Date,Close,High,Low,Open,Volume,Price_Change,Percent_Change,MA7,MA30,MA120
2024-12-09,174.80013,175.68723,173.08571,173.39472,25389600,0.85721,0.00493,171.96605,172.36092,168.5014
2024-12-10,184.56827,185.7544,180.46166,182.25581,54813000,9.76814,0.05588,174.30321,172.98026,168.57869
2024-12-11,194.76503,194.97435,184.24932,184.70782,67894100,10.19676,0.05525,177.73578,173.84126,168.71336
2024-12-12,191.3362,194.54572,191.08701,194.36631,34817500,-3.42883,-0.0176,180.69985,174.42934,168.82286
2024-12-13,189.20317,192.1037,189.02375,190.38929,25143500,-2.13303,-0.01115,182.92824,175.05748,168.87473
2024-12-16,196.02094,198.35333,191.99405,192.24324,44934900,6.81776,0.03603,186.37666,175.90692,168.98465
2024-12-17,194.78496,200.76546,194.34639,196.60901,43504000,-1.23598,-0.00631,189.3541,176.78318,169.0716
2024-12-18,187.78777,196.35982,187.12992,194.58561,34166100,-6.99719,-0.03592,191.20947,177.40962,169.12725
2024-12-19,187.8974,192.40272,187.76783,191.00727,32265200,0.10963,0.00058,191.68507,177.81503,169.17685
2024-12-20,190.78801,192.2632,184.61812,185.1763,63462900,2.89061,0.01538,191.11692,178.17609,169.2319
2024-12-23,193.99754,194.46602,189.53209,191.99407,25675000,3.20953,0.01682,191.49711,178.72377,169.30888
2024-12-24,195.47272,195.47272,193.15029,194.20684,10403300,1.47517,0.0076,192.39276,179.25426,169.35856
2024-12-26,194.96439,196.11064,193.74835,194.51584,12046600,-0.50833,-0.0026,192.24183,179.72565,169.41701
2024-12-27,192.13359,194.68528,190.03045,194.31648,18891400,-2.8308,-0.01452,191.86306,180.19362,169.45228
2024-12-30,190.61856,191.9243,188.50544,189.18324,14264700,-1.51503,-0.00789,192.26746,180.7206,169.4567
2024-12-31,188.68486,191.33622,187.89742,190.45907,17466900,-1.9337,-0.01014,192.37995,181.28568,169.49148
2025-01-02,188.81444,191.37609,186.89072,190.03047,20370800,0.12958,0.00069,192.09801,181.76181,169.53149
2025-01-03,191.16675,192.58215,189.36263,190.74811,18596200,2.35231,0.01246,191.69361,182.22277,169.57901
2025-01-06,196.23026,197.57587,193.22008,193.34965,29563600,5.06351,0.02649,191.80183,182.92354,169.69035
2025-01-07,194.85475,200.34684,193.96764,196.46948,26487200,-1.3755,-0.00701,191.78617,183.85556,169.81425
2025-01-08,193.31975,195.65214,191.75486,191.94424,24864800,-1.535,-0.00788,191.95562,184.83167,169.95295
